File,Line,Column,Type,Message,Source,Severity,Fixable
"updater/plugin-updater.php",58,1,warning,"This comment is 58% valid code; is this commented out code?",Squiz.PHP.CommentedOutCode.Found,5,0
"updater/plugin-updater.php",63,1,warning,"This comment is 69% valid code; is this commented out code?",Squiz.PHP.CommentedOutCode.Found,5,0
"updater/plugin-updater.php",154,79,error,"Detected high remote request timeout. `timeout` is set to `15`.",WordPressVIPMinimum.Performance.RemoteRequestTimeout.timeout_timeout,5,0
"updater/plugin-updater.php",265,79,error,"Detected high remote request timeout. `timeout` is set to `15`.",WordPressVIPMinimum.Performance.RemoteRequestTimeout.timeout_timeout,5,0
"updater/plugin-updater.php",323,78,error,"Detected high remote request timeout. `timeout` is set to `15`.",WordPressVIPMinimum.Performance.RemoteRequestTimeout.timeout_timeout,5,0
"updater/plugin-updater.php",343,14,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"updater/plugin-updater.php",343,51,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"updater/plugin-updater.php",345,11,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"updater/plugin-updater.php",348,26,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"updater/plugin-updater.php",352,20,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$message'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",45,41,warning,"serialize() found. Serialized data has known vulnerability problems with Object Injection. JSON is generally a better approach for serializing data. See https://www.owasp.org/index.php/PHP_Object_Injection",WordPress.PHP.DiscouragedPHPFunctions.serialize_serialize,5,0
"updater/plugin-updater-class.php",241,4,warning,"This comment is 45% valid code; is this commented out code?",Squiz.PHP.CommentedOutCode.Found,5,0
"updater/plugin-updater-class.php",242,47,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",242,86,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",242,120,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",242,140,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$file'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",250,6,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",258,6,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"updater/plugin-updater-class.php",415,22,warning,"parse_url() is discouraged because of inconsistency in the output across PHP versions; use wp_parse_url() instead.",WordPress.WP.AlternativeFunctions.parse_url_parse_url,5,0
"updater/plugin-updater-class.php",425,17,warning,"wp_remote_get() is highly discouraged. Please use vip_safe_wp_remote_get() instead which is designed to more gracefully handle failure than wp_remote_get() does.",WordPressVIPMinimum.Functions.RestrictedFunctions.wp_remote_get_wp_remote_get,5,0
